Date,Time,Agent ID,Department ID,Talk Time,Hold Time,ACW Time,Waiting Time,Call Transferred
2024-01-05,21:25:43,15,1,525,85,42,126,1
2022-02-26,13:29:11,12,2,347,86,13,113,1
2024-04-02,11:18:53,22,1,227,295,31,260,1
2022-02-02,18:57:48,6,3,194,199,40,209,0
2023-08-19,11:39:34,11,1,440,167,106,152,1
2023-03-19,12:32:06,18,2,473,250,24,274,0
2024-05-02,10:53:12,17,1,537,94,28,169,0
2022-08-20,16:30:39,16,2,207,281,105,121,0
2023-09-12,15:28:40,22,1,426,265,13,125,1
2023-09-20,17:02:48,18,3,574,287,25,51,0
2022-01-30,14:03:08,12,1,547,148,32,67,0
2023-09-28,15:28:24,14,4,412,149,20,180,1
2023-04-05,07:18:14,24,1,585,136,21,159,0
2024-10-03,16:40:48,16,2,549,168,12,30,0
2024-08-09,17:20:53,2,3,500,65,54,296,0
2022-03-13,17:31:05,21,1,428,276,32,197,1
2023-10-05,18:26:49,5,4,228,271,47,112,0
2022-11-30,16:04:02,1,2,323,168,76,196,0
2023-06-24,15:41:34,12,1,246,106,76,292,1
2023-06-29,17:50:53,3,1,599,151,120,192,1
2022-08-03,15:54:23,24,1,408,248,27,191,1
2023-07-09,15:41:33,13,1,210,100,108,293,1
2024-09-03,11:23:04,7,1,554,249,33,105,1
2024-12-26,16:30:37,3,1,263,291,108,218,1
2024-08-23,15:23:37,2,1,208,193,114,161,0
2023-03-11,21:27:03,22,3,407,269,88,214,0
2024-01-04,12:56:12,10,3,448,211,29,265,1
2023-04-25,21:58:39,12,1,367,111,100,46,0
2024-05-17,12:23:11,4,4,533,111,50,167,1
2023-06-22,18:58:29,12,1,472,132,22,100,0
2024-03-25,11:48:57,13,1,215,132,106,174,0
2024-01-19,15:42:05,4,2,423,163,109,36,1
2023-09-22,14:47:05,25,1,259,128,47,38,1
2023-11-17,09:52:11,15,1,366,185,34,281,1
2022-04-27,17:50:40,7,1,468,212,93,239,1
2024-08-05,12:48:00,19,1,288,255,81,226,0
2024-07-21,17:34:25,24,2,268,76,70,176,1
2024-06-07,20:33:34,18,1,332,91,53,300,1
2023-02-04,20:30:18,12,1,370,100,91,180,0
2023-08-07,15:43:43,9,3,473,107,30,99,0
2022-05-14,20:02:26,12,1,400,268,75,111,0
2022-08-03,14:30:49,9,1,289,249,20,58,0
2023-12-14,18:42:35,7,2,202,245,40,159,1
2023-01-30,14:17:24,3,1,360,157,87,274,0
2022-04-17,14:39:25,24,1,308,293,102,249,1
2024-05-07,13:49:03,7,1,514,200,107,206,0
2022-06-08,22:15:28,3,3,388,112,89,71,0
2024-10-14,12:08:47,22,1,471,120,90,178,0
2023-05-12,12:46:01,5,4,547,250,15,198,1
2024-10-05,14:43:47,1,1,250,171,72,120,1
2024-10-30,10:38:56,3,3,211,251,115,42,1
2023-07-14,13:26:30,6,1,554,255,69,189,0
2022-07-06,12:22:30,19,1,576,243,59,142,1
2024-07-17,10:19:01,19,3,271,92,49,162,0
2024-07-30,13:21:07,21,2,501,102,108,59,1
2023-08-14,14:09:57,16,3,583,198,66,195,1
2023-08-20,11:06:30,24,1,576,66,42,105,1
2024-05-20,15:47:43,3,1,444,157,47,151,1
2024-09-22,10:11:28,21,1,311,173,95,30,1
2022-09-23,10:17:53,3,1,537,262,47,103,1
2023-12-22,14:03:27,23,3,230,176,52,187,1
2022-11-09,17:24:54,19,4,388,246,112,178,1
2023-01-27,19:16:04,17,1,559,179,85,145,1
2022-03-11,19:39:58,4,1,267,189,62,81,1
2023-03-21,16:09:36,22,1,217,150,50,161,0
2023-02-18,13:10:52,13,3,444,64,71,67,1
2022-01-11,07:20:13,22,1,487,242,116,278,0
2023-06-02,14:02:18,16,2,369,254,47,287,0
2023-08-12,19:25:37,3,1,446,268,83,77,1
2023-03-28,17:26:04,5,2,353,82,62,138,0
2023-04-23,18:25:26,14,1,486,275,19,256,1
2023-02-03,12:27:32,17,2,216,188,46,295,0
2024-01-05,15:08:05,2,1,373,235,115,144,1
2024-09-27,15:09:23,14,3,495,179,57,250,1
2022-08-12,14:21:43,10,2,492,100,38,202,1
2023-12-18,11:17:25,5,4,445,207,28,189,1
2022-08-17,18:57:34,12,1,560,289,94,295,0
2024-02-24,16:34:39,15,1,453,175,50,54,1
2024-07-17,17:47:37,16,2,589,113,22,120,0
2023-09-28,11:47:14,18,1,344,231,58,264,0
2024-05-30,13:31:06,2,4,192,154,73,163,0
2023-07-20,23:59:28,13,1,434,216,16,100,1
2022-04-20,04:10:11,3,3,249,269,45,58,0
2023-08-22,15:25:00,11,1,406,208,110,200,1
2024-11-29,17:13:25,21,1,534,261,63,226,1
2024-03-02,11:16:50,2,4,393,270,81,270,0
2023-05-22,09:51:48,2,1,384,206,59,195,1
2023-11-04,21:56:45,4,2,277,271,52,120,0
2024-02-27,15:14:15,2,1,378,281,85,248,0
2024-10-14,18:57:12,6,4,589,151,97,189,1
2022-11-03,15:03:58,2,1,328,65,16,200,0
2024-03-24,12:36:04,13,1,367,144,38,268,0
2023-01-01,11:50:45,14,1,583,278,31,270,0
2024-03-03,16:46:19,25,1,261,87,111,61,1
2023-06-12,11:19:50,23,2,201,107,33,209,0
2023-05-05,11:04:03,5,1,580,140,90,55,0
2022-06-13,22:14:38,22,3,502,139,17,273,1
2022-07-22,11:49:53,18,2,263,228,18,176,1
2022-02-04,11:13:01,18,1,430,232,112,192,0
2023-06-28,13:18:08,24,2,448,121,12,157,0
2023-10-13,19:10:34,19,1,274,88,10,299,1
2022-09-16,18:26:16,14,1,358,295,27,149,1
2022-04-14,11:23:19,13,2,216,231,46,76,0
2024-04-02,10:42:31,4,1,446,119,56,153,1
2023-03-23,11:34:10,24,1,277,132,18,300,1
2024-05-28,21:07:34,24,2,198,222,74,149,1
2023-10-30,13:05:31,9,4,494,205,119,143,1
2023-07-08,14:41:18,12,1,586,170,21,202,0
2024-04-28,15:17:16,13,3,437,152,43,56,1
2022-10-23,13:32:03,11,3,587,214,74,126,1
2023-11-13,16:14:01,11,3,293,297,73,145,0
2022-06-15,12:52:57,14,1,210,151,51,290,1
2023-04-18,15:01:48,11,1,234,112,15,105,0
2024-09-03,07:28:29,9,2,318,140,86,299,1
2024-05-09,14:32:27,10,1,384,217,54,85,0
2022-03-07,10:45:19,1,2,395,110,84,293,1
2024-10-24,19:19:58,9,2,243,96,113,63,1
2022-06-26,11:44:31,20,4,376,217,74,96,0
2024-01-14,12:43:11,13,1,332,208,112,288,1
2024-10-26,13:34:31,8,4,351,170,30,144,0
2022-10-13,09:20:16,23,1,366,204,89,239,1
2023-11-11,19:44:04,14,1,355,198,111,196,1
2024-06-27,09:40:57,14,1,441,249,87,43,0
2024-07-02,13:10:05,23,3,209,123,120,282,1
2022-12-27,12:19:11,3,1,485,257,70,45,0
2023-09-05,08:38:17,20,1,301,116,48,275,0
2022-01-30,08:02:30,3,3,249,129,71,55,0
2022-07-25,11:00:35,12,2,251,135,23,293,1
2024-12-07,11:08:53,15,1,435,288,74,261,1
2024-10-11,13:17:13,8,3,385,279,89,252,1
2023-05-08,10:29:01,6,4,401,300,56,273,1
2022-11-21,06:01:39,3,4,322,267,20,252,1
2024-09-28,10:52:19,18,1,409,210,21,119,0
2023-02-05,19:40:44,16,1,430,239,42,154,0
2022-12-18,10:28:51,9,1,560,104,99,139,0
2023-03-14,09:49:41,1,1,549,143,112,119,0
2024-09-06,14:30:16,4,1,517,188,106,155,1
2023-02-19,10:30:58,15,1,407,171,88,129,0
2022-08-13,11:48:31,9,4,552,72,22,282,0
2023-07-15,18:04:39,15,3,515,239,86,214,1
2024-01-18,15:47:08,18,2,325,79,28,250,1
2024-07-17,14:51:02,7,1,546,180,51,204,0
2022-11-05,14:41:09,21,1,595,119,49,183,1
2024-10-15,07:26:19,23,1,524,267,83,134,1
2023-05-21,15:55:26,18,3,268,95,69,212,0
2022-12-07,09:31:59,3,4,219,251,40,81,1
2024-04-13,20:00:51,3,1,423,274,116,154,0
2023-08-30,07:38:25,1,1,231,82,89,239,1
2022-11-20,16:16:00,21,1,292,91,59,187,1
2022-05-26,11:44:24,17,1,581,217,36,226,0
2022-03-16,10:34:32,5,1,521,216,17,79,1
2024-09-27,17:29:49,23,1,272,78,37,283,1
2022-08-09,09:09:24,4,4,423,128,107,38,0
2023-10-05,11:15:38,25,1,311,158,70,37,1
2023-12-31,22:45:57,18,2,213,176,100,180,0
2022-08-17,14:06:16,2,1,371,240,59,148,0
2022-03-14,14:12:18,13,3,386,296,68,92,1
2024-11-09,09:00:31,11,1,351,214,112,173,0
2023-07-30,14:25:18,12,2,484,164,75,236,1
2022-01-03,15:41:49,7,2,243,104,38,84,0
2022-08-24,19:18:00,18,2,441,112,28,56,1
2022-05-26,12:00:19,3,2,231,106,12,89,1
2022-01-27,21:32:45,23,2,333,125,64,69,1
2022-06-08,16:56:58,12,2,296,140,83,218,0
2022-09-12,20:19:51,23,1,393,70,90,227,0
2022-08-10,11:20:45,8,3,494,130,98,235,1
2024-10-12,10:39:48,22,1,459,229,20,202,1
2022-10-17,12:16:14,22,1,454,70,46,120,0
2022-02-27,07:56:04,24,1,240,76,86,209,0
2022-06-13,09:16:41,7,1,511,98,91,93,0
2022-06-21,17:19:55,18,4,519,207,100,100,0
2023-04-27,13:29:32,12,3,544,212,58,112,0
2023-10-21,09:43:37,10,4,516,123,72,155,1
2022-06-28,10:09:04,17,1,460,183,79,165,1
2024-08-21,14:58:59,3,1,229,291,82,182,1
2024-09-30,22:48:33,15,4,383,207,92,171,0
2022-05-19,13:13:01,17,2,452,289,32,94,1
2022-10-25,06:16:16,12,4,299,119,22,92,0
2022-07-23,19:54:37,7,1,553,257,94,271,1
2023-05-29,17:39:24,5,1,245,251,97,77,0
2023-10-30,18:52:35,19,2,592,150,35,294,1
2024-10-26,12:18:11,23,2,223,189,115,168,1
2022-09-25,13:58:13,13,1,409,195,34,284,0
2024-08-17,17:46:44,16,1,445,204,68,284,1
2022-04-05,06:59:19,5,3,357,227,26,133,1
2024-06-25,19:40:59,8,2,411,254,14,59,1
2023-10-31,11:04:04,17,4,388,222,73,267,0
2024-12-21,20:29:48,6,1,354,155,36,188,1
2023-03-17,13:55:09,23,3,553,277,64,94,0
2024-01-20,09:47:03,11,1,583,135,66,223,0
2022-08-13,16:45:59,13,3,423,209,106,278,1
2024-06-28,13:58:17,13,1,339,221,52,291,1
2022-06-19,17:41:04,20,4,217,232,42,205,0
2022-09-05,17:29:05,13,1,535,258,89,293,1
2023-01-05,14:15:46,5,1,394,105,54,193,1
2022-09-21,17:28:53,17,4,318,245,18,116,0
2022-02-12,15:15:13,7,1,400,156,93,42,1
2024-02-02,05:39:33,2,1,365,210,74,142,1
2024-09-19,12:42:58,15,1,241,177,44,96,1
2024-10-13,18:28:09,15,1,507,244,79,72,0
2022-11-09,23:48:00,15,1,481,192,96,216,0
2024-03-27,12:46:47,24,1,337,267,25,244,1
2024-11-29,13:27:11,14,3,383,173,69,236,0
2023-05-08,13:46:25,2,3,216,205,40,47,1
2022-11-17,13:11:06,19,2,244,238,118,254,1
2024-10-12,03:14:24,7,2,531,145,55,235,1
2024-02-11,16:48:38,17,4,374,244,22,64,0
2022-07-18,06:31:55,20,2,211,172,58,122,1
2022-04-06,09:47:00,23,1,544,235,116,198,1
2022-03-24,06:25:28,16,4,289,80,46,272,1
2022-01-18,09:10:54,15,2,466,191,71,84,1
2023-12-26,10:47:47,10,3,303,263,117,58,1
2024-07-02,17:02:32,17,1,420,98,33,31,0
2024-11-25,10:38:18,23,2,321,261,98,132,1
2024-12-30,07:53:16,2,1,222,262,55,172,1
2022-09-10,10:20:56,1,1,307,95,120,167,0
2023-11-04,20:37:16,23,2,316,278,104,99,1
2024-10-23,14:05:28,17,1,342,164,76,124,0
2024-06-10,13:14:05,5,1,425,266,106,84,0
2024-12-31,15:59:32,5,1,591,100,24,40,1
2022-03-29,17:14:18,18,4,319,124,112,174,0
2023-02-20,12:02:20,13,1,373,258,51,256,0
2022-04-09,14:11:52,13,1,539,114,98,134,1
2022-09-29,15:48:41,6,3,289,70,72,75,0
2023-05-05,13:16:51,8,1,215,84,114,96,0
2024-06-21,15:03:04,25,2,597,136,110,220,1
2022-07-13,16:57:50,8,1,472,103,26,146,0
2022-01-30,15:38:07,16,1,338,109,69,63,0
2024-05-09,13:47:53,9,1,227,122,39,86,1
2022-11-30,15:50:10,18,1,259,91,11,34,1
2022-01-23,18:21:02,18,2,450,250,115,116,0
2024-07-15,02:38:31,20,3,376,117,37,108,1
2023-04-12,11:23:46,2,2,573,132,88,46,1
2024-07-19,07:48:15,6,2,573,293,91,275,0
2024-06-01,11:04:25,23,2,593,191,94,241,0
2024-11-30,17:23:43,25,1,515,95,74,102,1
2022-10-14,13:19:21,16,4,522,104,13,244,1
2022-11-06,08:30:17,13,3,195,152,57,165,1
2022-08-29,19:23:15,3,4,518,136,52,196,0
2024-01-24,12:16:31,24,3,511,251,85,245,1
2024-04-03,14:42:46,1,3,552,109,103,148,0
2022-03-16,14:50:44,15,1,560,144,36,202,1
2023-10-14,08:56:42,4,1,198,60,103,71,0
2024-10-03,12:44:51,13,3,509,125,15,93,0
2024-05-06,13:00:21,1,2,526,261,77,296,1
2024-09-15,12:46:21,6,1,404,293,62,274,1
2022-10-13,15:48:32,17,1,337,248,95,137,1
2022-08-11,15:48:51,14,4,285,198,10,195,0
2024-09-15,15:26:31,14,1,528,242,91,260,0
2023-03-03,12:35:57,4,1,575,266,34,160,0
2022-08-30,16:55:19,9,4,300,102,49,42,0
2023-02-28,12:15:29,4,2,246,75,90,210,1
2023-12-01,13:34:22,10,2,250,115,30,280,1
2023-03-19,12:00:16,13,1,249,161,46,172,1
2022-03-02,13:36:26,3,4,597,255,56,163,1
2022-10-24,12:48:23,16,2,182,249,96,286,1
2024-03-09,09:33:00,21,3,360,224,14,288,1
2024-07-31,14:24:02,23,2,570,66,100,51,0
2022-05-18,05:41:10,20,1,205,247,14,34,0
2023-11-16,22:00:13,20,3,290,222,70,180,0
2024-04-09,15:41:09,19,3,510,86,52,222,0
2024-04-18,15:45:16,17,2,305,197,39,77,0
2023-12-14,13:50:33,14,1,344,110,65,133,1
2024-11-02,16:39:58,15,3,476,255,41,228,0
2024-02-12,14:00:47,14,1,405,140,34,277,0
2022-02-24,11:20:01,1,1,540,261,63,156,0
2022-01-05,11:23:52,11,1,242,217,119,248,0
2023-06-24,18:43:15,1,1,253,295,49,193,1
2022-05-19,15:26:30,24,1,542,209,50,196,0
2022-03-31,13:04:41,18,1,572,203,87,61,1
2022-09-08,15:01:52,16,3,363,156,104,207,1
2023-03-24,21:42:44,2,1,364,165,59,183,1
2024-11-21,11:00:23,24,1,331,154,101,192,1
2022-02-02,17:28:36,15,1,445,72,18,236,0
2023-11-22,06:27:58,23,4,462,92,115,199,1
2024-08-21,12:43:28,19,2,405,150,74,246,1
2023-11-23,09:59:25,19,3,577,128,103,202,0
2023-12-20,11:21:07,14,2,464,220,14,208,1
2023-06-23,11:36:22,1,1,429,185,72,169,1
2024-12-08,14:45:54,13,2,207,300,24,49,0
2022-03-07,15:15:30,9,1,352,69,33,229,0
2022-03-18,13:31:26,24,4,274,73,108,52,0
2022-04-03,13:29:27,1,2,271,110,22,257,0
2024-12-26,10:01:12,22,1,571,296,58,297,1
2022-12-12,18:24:39,20,1,439,62,106,81,1
2024-03-18,11:35:11,10,1,431,276,73,243,1
2022-02-25,18:20:01,1,2,183,196,32,262,1
2024-05-08,13:53:47,1,2,410,183,43,217,0
2024-03-10,16:02:43,18,2,448,113,100,206,1
2023-12-13,09:30:30,14,3,272,89,38,273,0
2022-08-28,11:03:58,4,3,289,248,29,251,0
2024-09-15,18:36:24,7,3,180,246,17,143,0
2023-11-23,16:37:29,16,1,213,260,79,213,0
2022-06-17,12:34:27,5,2,290,273,110,52,0
2024-08-21,10:50:32,12,1,592,126,10,178,0
2022-02-20,11:55:05,22,1,351,110,107,46,0
2023-04-30,13:20:34,9,2,424,85,98,55,0
2023-12-17,15:51:51,21,1,352,171,90,62,0
2024-05-03,05:27:14,5,1,210,248,86,116,1
2022-06-09,08:11:52,1,4,236,84,10,42,1
2022-11-09,20:18:55,2,2,304,207,100,88,1
2022-11-01,15:11:59,4,4,495,112,27,218,1
2023-10-04,16:19:01,12,3,418,129,20,239,0
2024-12-08,12:30:27,20,4,342,162,55,178,1
2023-10-05,11:42:03,18,1,253,248,83,71,0
2024-05-13,10:09:04,5,1,560,263,48,201,0
2022-01-16,10:46:33,1,1,570,154,82,35,0
2024-06-19,14:54:11,10,3,390,173,76,291,1
2022-12-14,08:02:28,12,3,252,161,109,111,0
2023-04-02,13:31:32,18,1,387,257,102,220,0
2023-11-16,14:13:21,5,1,300,112,84,39,0
2022-10-07,10:25:33,7,1,416,113,54,84,1
2024-08-18,12:31:01,5,1,481,234,104,68,0
2024-06-16,17:59:49,9,1,271,226,96,103,0
2023-10-19,09:23:08,16,3,584,194,47,212,1
2024-05-24,12:51:54,21,1,369,239,101,281,0
2022-10-01,16:38:29,8,1,267,105,61,199,0
2024-10-18,23:16:59,21,1,222,171,99,176,1
2022-05-06,09:19:19,9,1,417,294,73,96,1
2023-08-09,08:33:40,20,1,518,163,67,300,0
2024-04-01,14:05:15,12,1,412,228,114,277,0
2024-06-11,10:45:12,15,1,369,222,96,38,0
2023-12-07,10:27:50,17,1,393,155,52,195,0
2023-12-26,08:35:58,4,1,590,136,29,279,1
2023-05-30,16:44:26,18,2,546,133,43,222,1
2024-05-06,15:59:53,3,1,314,273,101,109,0
2024-11-03,12:29:46,11,1,391,87,76,249,1
2023-03-25,15:45:20,25,1,253,198,108,257,0
2023-11-30,13:39:37,3,1,238,277,36,267,1
2022-11-21,13:26:09,7,2,498,253,25,66,0
2024-03-14,12:31:08,17,4,234,98,10,184,0
2022-08-08,03:38:16,24,1,591,264,34,169,1
2023-03-21,12:53:34,23,2,185,239,58,47,1
2023-03-23,14:56:32,15,2,304,260,84,233,1
2024-04-29,14:10:39,16,3,488,187,19,77,0
2022-06-08,13:11:40,21,3,213,221,106,187,1
2024-07-18,13:20:12,4,1,503,115,25,204,1
2022-02-20,17:50:19,14,1,492,165,10,221,1
2024-09-01,11:28:17,12,2,502,123,19,49,0
2022-03-06,10:52:59,5,2,466,256,63,87,1
2024-05-16,12:56:44,19,1,246,113,76,266,0
2022-07-10,15:52:15,17,3,412,291,54,275,0
2024-06-30,18:03:30,20,1,413,182,80,240,1
2023-12-27,11:54:53,13,1,452,258,50,69,1
2024-05-02,15:55:34,12,1,534,103,56,84,0
2024-12-21,16:05:27,10,2,291,241,108,88,0
2024-12-17,19:43:11,6,3,183,114,92,186,0
2024-07-12,14:19:47,22,1,357,297,69,135,1
2022-06-05,23:18:27,7,1,389,232,26,147,1
2023-03-25,14:57:06,14,2,232,279,70,79,1
2023-07-20,11:50:11,18,1,324,193,26,136,0
2024-11-13,11:29:37,14,1,299,221,46,210,1
2023-05-23,12:58:35,3,3,450,133,103,167,1
2023-12-22,10:14:44,23,3,379,173,43,228,1
2022-11-27,21:59:14,5,1,329,159,83,109,0
2023-08-23,14:04:04,8,1,578,265,47,95,1
2023-06-11,17:36:09,9,2,450,288,58,289,1
2024-03-13,15:13:21,5,1,559,236,97,199,1
2022-02-12,08:32:04,18,1,505,183,41,232,1
2022-09-09,20:20:51,22,1,404,152,101,289,0
2024-07-24,16:24:35,7,1,497,102,25,291,0
2024-02-17,12:58:07,16,2,372,147,114,257,0
2022-02-20,11:25:23,23,1,309,88,114,149,0
2023-06-30,19:02:29,18,2,269,283,74,280,1
2024-11-23,09:10:05,4,2,276,116,37,286,0
2024-04-16,09:37:47,1,1,566,266,92,274,1
2023-01-11,17:59:36,8,1,246,87,117,205,1
2022-11-15,15:08:21,12,4,245,208,113,131,0
2022-11-29,14:38:03,21,2,203,109,43,131,1
2022-04-04,18:54:26,8,2,567,268,92,62,0
2023-08-29,21:35:16,12,1,341,198,27,118,0
2022-01-12,07:39:25,5,2,189,99,87,267,1
2024-01-14,13:16:46,19,3,570,102,30,37,0
2024-03-20,14:26:09,15,1,407,198,69,225,1
2024-08-12,14:51:28,25,1,251,89,46,138,1
2023-04-11,06:31:21,16,3,194,183,32,77,1
2022-02-27,11:16:24,8,2,379,96,33,229,1
2023-12-25,14:21:59,24,3,216,230,39,212,0
2022-06-22,15:39:33,6,1,267,81,98,299,0
2023-10-12,11:57:46,1,3,240,182,66,183,0
2022-09-11,20:15:38,4,3,434,120,118,139,1
2024-12-08,10:48:46,2,1,249,266,40,265,0
2023-03-08,12:27:58,21,3,281,71,109,40,1
2024-10-19,08:22:30,17,1,198,135,81,34,0
2023-06-08,19:09:25,25,4,557,272,82,193,0
2022-05-16,14:53:39,19,3,435,65,45,295,0
2023-10-02,16:25:06,10,2,448,102,71,254,1
2022-02-03,18:16:11,8,1,358,120,98,270,0
2023-06-23,11:07:30,6,1,560,173,100,103,1
2023-12-02,18:17:19,21,1,204,131,102,42,0
2023-12-25,13:32:37,16,3,514,253,109,131,1
2022-11-13,17:11:30,12,1,277,290,90,209,1
2024-01-24,13:33:38,4,1,370,161,114,188,0
2022-07-08,11:19:07,17,3,194,168,118,285,1
2023-08-21,14:39:06,1,1,435,226,95,259,1
2024-01-11,08:29:20,15,2,578,160,60,179,0
2022-02-23,14:58:16,20,1,440,175,112,57,1
2023-05-14,11:06:26,10,2,569,124,53,189,0
2023-04-16,13:50:50,1,2,461,252,31,120,1
2024-03-25,14:52:21,21,1,457,68,34,182,0
2022-03-17,11:36:10,14,1,312,166,55,289,1
2024-03-26,18:02:22,17,1,193,274,68,37,1
2023-06-29,10:31:30,6,2,582,246,110,84,1
2024-10-14,15:53:55,3,1,592,282,46,228,1
2024-10-14,11:50:22,20,1,337,120,69,167,1
2022-11-07,11:42:37,6,3,293,157,35,145,0
2022-01-05,08:11:54,1,4,307,171,45,277,0
2023-10-14,14:44:53,20,1,413,158,37,299,0
2022-02-09,14:54:34,10,4,591,184,60,133,1
2024-08-04,15:47:38,17,2,266,62,17,174,1
2024-08-12,12:04:11,23,1,363,113,60,205,0
2022-08-20,18:18:19,23,1,181,92,110,260,1
2023-10-18,16:38:29,19,1,595,69,111,257,1
2022-09-18,18:31:01,12,1,597,165,30,113,1
2022-07-11,18:21:44,8,3,310,124,44,251,0
2023-06-25,09:02:55,4,4,219,289,40,153,0
2022-07-02,16:49:18,2,2,387,196,41,82,1
2024-12-08,11:12:01,16,1,318,171,108,267,0
2023-11-20,04:41:08,9,1,445,191,79,180,1
2022-02-14,13:06:03,16,3,268,173,83,76,1
2024-04-07,14:55:02,11,1,299,272,79,253,1
2024-05-30,14:07:49,12,4,254,287,73,72,0
2022-06-06,08:58:48,6,1,349,74,74,64,0
2023-09-23,08:06:29,13,2,592,146,31,84,1
2023-11-05,13:57:17,11,2,182,61,89,120,1
2024-02-06,12:14:50,13,3,475,225,85,67,1
2023-01-31,13:23:39,7,4,260,298,38,56,1
2022-01-21,12:54:26,17,4,223,136,27,242,0
2023-12-09,13:40:56,10,1,559,238,105,105,1
2023-04-10,17:24:10,3,1,585,148,46,54,1
2023-12-10,20:47:20,18,1,312,296,20,233,0
2024-06-02,16:06:44,4,1,247,166,111,52,0
2022-01-12,10:03:20,10,2,463,238,46,63,0
2022-05-18,11:46:08,19,1,503,157,37,284,0
2022-04-08,15:53:07,7,4,394,191,62,85,0
2024-10-19,10:11:17,25,3,413,148,84,41,1
2022-02-21,12:49:22,18,1,372,235,87,127,1
2024-12-02,19:22:32,3,1,264,119,37,286,0
2023-02-17,07:34:40,7,3,444,67,87,41,0
2024-01-05,18:25:59,9,4,403,199,107,88,1
2022-06-03,17:58:25,11,1,460,158,111,85,1
2024-03-29,10:47:03,25,3,399,165,22,155,0
2022-11-25,10:51:28,8,2,291,97,77,184,1
2022-01-31,11:48:07,16,2,268,179,63,247,0
2023-03-30,09:16:57,13,4,553,151,19,166,1
2024-12-21,16:28:32,1,2,344,277,76,46,1
2022-10-15,15:06:53,6,2,551,249,71,266,0
2022-01-27,18:01:58,6,2,396,266,72,277,0
2024-09-15,13:30:21,23,1,546,240,85,150,0
2024-06-24,06:11:59,2,1,217,238,105,154,1
2023-01-21,16:15:32,14,1,282,298,104,298,1
2024-03-21,13:27:22,12,1,529,165,12,102,1
2022-06-29,14:42:12,12,1,316,293,28,130,0
2024-01-17,07:35:06,13,1,438,223,43,35,0
2022-09-05,15:13:16,8,1,371,125,107,247,0
